opid,operator,atype,remarks,phase_of_flt,date,state,height,speed,effect,sky,species,birds_struck
UAL,UNITED AIRLINES,B-737,NO DAMAGE NOTED TO NOSE GEAR DOOR,Take-off run,6/25/1991 0:00:00,TN,0.0,120.0,Aborted Take-off,Overcast,UNKNOWN BIRD - SMALL,1
AAL,AMERICAN AIRLINES,MD-82,NO DAMAGE.,Approach,8/29/1992 0:00:00,MO,3000.0,180.0,None,No Cloud,UNKNOWN BIRD - SMALL,1
USA,US AIRWAYS,DC-9-30,NO DAMAGE REPTD,Landing Roll,7/12/1991 0:00:00,,0.0,105.0,None,Overcast,UNKNOWN BIRD - SMALL,1
USA,US AIRWAYS,B-737-200,RADAR WAS ON. GRACKLE. SHORT FINAL.,Approach,7/23/1991 0:00:00,PA,300.0,136.0,None,Overcast,BLACKBIRDS,2-10
BUS,BUSINESS,LEARJET-25,NOSE GEAR STRUCK ON 3 MI FINAL.  NO DAMAGE.,Approach,10/20/1993 0:00:00,TX,800.0,160.0,None,Overcast,UNKNOWN BIRD - SMALL,1
USA,US AIRWAYS,B-737-200,FLT 180.  SMALL WHITE BIRD STRUCK ON ROTATION. NO DAMAGE.,Take-off run,11/26/1994 0:00:00,FL,0.0,110.0,None,No Cloud,UNKNOWN BIRD - SMALL,2-10
USA,US AIRWAYS,B-737-300,BENT FRAME OF CAPT'S SLIDING WINDOW. NO OTHER DAMAGE. DID NOT  BREAK WINDOW.,Climb,4/3/1995 0:00:00,NC,4000.0,250.0,None,No Cloud,UNKNOWN BIRD - LARGE,1
UAL,UNITED AIRLINES,B-757-200,FLT 244.,Take-off run,9/26/1993 0:00:00,NE,0.0,120.0,None,No Cloud,PURPLE MARTIN,1
COA,CONTINENTAL AIRLINES,B-727,FLT FLT 349 ON 2 MI FINAL STRUCK A BIRD ATA 1431C. FLT LANDED W/O  INCIDENT. NO REPTD DAMAGE.,Approach,7/7/1992 0:00:00,LA,300.0,135.0,None,,UNKNOWN BIRD,1
USA,US AIRWAYS,B-737-400,INGESTED ON T/O ROLL. NO DAMAGE FOUND.,Take-off run,7/12/1992 0:00:00,MI,0.0,120.0,None,Overcast,SPARROWS,1
USA,US AIRWAYS,B-757-200,"CAPT REPTD BIRD STRUCK A GLANCING BLOW TO RADOME/FUSELAGE ON  CAPT'S SIDE.  UPON LANDING, A BRIEF VISUAL INSPECTION BY CAPT.  F/O AND MAINT DID NOT REVEAL ANY DAMAGE.  STRIKE WAS ENTERED INTO  A/C LOG FOR FURTHER MAINT INSPECTION.  BWI WEATHER ALSO INDICATED  WINDS 18 G21 AT TIME OF INCIDENT.",Climb,3/4/1993 0:00:00,MD,150.0,150.0,None,Overcast,GULLS,1
ULT,ULTRAIR,B-727,,Descent,6/15/1994 0:00:00,AL,11000.0,300.0,None,Some Cloud,UNKNOWN BIRD - SMALL,1
ABX,ABX AIR (was AIRBORNE EXPRESS),DC-8-61,,En Route,10/13/1994 0:00:00,,2500.0,130.0,None,,UNKNOWN BIRD,1
ABX,ABX AIR (was AIRBORNE EXPRESS),DC-9-40,,En Route,10/13/1994 0:00:00,,2500.0,130.0,None,,UNKNOWN BIRD,1
JAL,JAPAN AIRLINES,B-747-1/200,,Approach,1/3/1994 0:00:00,WA,800.0,135.0,None,Overcast,DUCKS,2-10
USA,US AIRWAYS,MD-80,PILOT WARNED BY NOTAM ONLY,Landing Roll,9/23/1994 0:00:00,KY,0.0,100.0,None,Overcast,UNKNOWN BIRD - MEDIUM,1
AAL,AMERICAN AIRLINES,B-727-200,,Climb,1/8/1995 0:00:00,,100.0,150.0,None,No Cloud,UNKNOWN BIRD - SMALL,1
UNK,UNKNOWN,C-172,NO DAMAGE,Take-off run,10/6/1992 0:00:00,IL,0.0,80.0,None,Some Cloud,UNKNOWN BIRD,1
COM,COMAIR AIRLINES,SAAB-340,TIME = 1645 Z. RWY REPTD AS 27L.,Climb,7/23/1991 0:00:00,KY,100.0,130.0,None,No Cloud,UNKNOWN BIRD - SMALL,1
COA,CONTINENTAL AIRLINES,B-737-100,FLT752,Approach,8/19/1992 0:00:00,NJ,1780.0,130.0,None,No Cloud,GULLS,1
DAL,DELTA AIR LINES,MD-88,NO DAMAGE,Landing Roll,8/28/1994 0:00:00,GA,0.0,105.0,None,No Cloud,EUROPEAN STARLING,2-10
BUS,BUSINESS,BE-200 KING,,Landing Roll,11/5/1990 0:00:00,MA,0.0,80.0,None,Some Cloud,CANADA GOOSE,1
NAE,NASHVILLE EAGLE,SHORTS 360,FLT 933 STRUCK A DEER WHILE DEPTG. NO REPTD  DAMAGE. TIME WAS 0100E.,Take-off run,12/12/1991 0:00:00,NY,0.0,120.0,None,,WHITE-TAILED DEER,1
PVT,PRIVATELY OWNED,MOONEY UNKN,"FLT DEPTD AT APPROX 2008E VFR.  PILOT REPTD HITTING A DEER ON  DEPT.  POSSIBLE DAMAGE TO GEAR.  MADE SEVERAL LOW PASSES AT IAD.  ARPT PERSONNEL CONFIRMED LEFT MAIN NOT APPEARED LOCKED.  BURNED OFF FUEL, ARFF RESPONDED AND THE FLIGHT LANDED RY 19R AT 0117E,  LEFT MAIN COLLAPSED.  MINOR DAMAGE TO THE GEAR & NO INJURIES TO  THE 3 PAX.  NO IMPACT TO TRAFFIC.",Take-off run,10/16/1992 0:00:00,WV,0.0,120.0,Precautionary Landing,,WHITE-TAILED DEER,1
AAH*,ALOHA AIRLINES,B-737-200,BAD SMELL ON T/O JUST AT ROTATION. SUSPECT INGESTED A BIRD IN AN  ENG. NO BIRD SEEN.,Take-off run,11/5/1992 0:00:00,HI,0.0,100.0,None,Some Cloud,UNKNOWN BIRD,1
BUS,BUSINESS,BE-58  BARON,NO REPTD DAMAGE.,Landing Roll,5/11/1992 0:00:00,CT,0.0,80.0,None,Overcast,GULLS,1
USA,US AIRWAYS,DC-9-30,HIT BAT OR NIGHT BIRD. CAPT SAID IT DIDN'T LOOK LIKE ANY DAMAGE  BUT MAINT WILL CHECK. BIRD SPLATTERED ON F/O WINDOW.,Approach,5/2/1992 0:00:00,PA,200.0,130.0,None,Some Cloud,UNKNOWN BIRD - SMALL,1
BUS,BUSINESS,CITATION II,"MAJOR DAMAGE TO #2 ENG. # BIRDS STRUCK NOT REPTD, ASSUME 1.",Take-off run,2/5/1992 0:00:00,FL,0.0,80.0,Aborted Take-off,Overcast,UNKNOWN BIRD - SMALL,1
AAL,AMERICAN AIRLINES,FK-100,ON T/O ON L TURN AT 0155Z (8:55PM LCL) SAW/STRUCK 1 SMALL  BIRD/BAT ON UPPER RT FWD FUSELAGE ABOVE F/O SEAT.,Climb,9/28/1992 0:00:00,IL,2000.0,200.0,None,No Cloud,UNKNOWN BIRD - SMALL,1
TWA,TRANS WORLD AIRLINES,DC-9-30,GLANCING BLOW ON RADOME. NO DAMAGE.,Approach,9/27/1994 0:00:00,MO,1700.0,190.0,None,Overcast,UNKNOWN BIRD,1
AAL,AMERICAN AIRLINES,B-727-200,LRG FLOCK CROSSED RWY & STRUCK RADOME & UNDERSIDE OF NOSE AS NOSE  GEAR TOUCHED DOWN. RWY INSPN FOUND 10 DEAD DOVES.,Landing Roll,12/29/1993 0:00:00,TX,0.0,120.0,None,No Cloud,MOURNING DOVE,2-10
LOF,TRANS STATES AIRLINES,ATR-42,CRACKED WINDSHIELD.  HAD TO SLOW ON FINAL. FLT 115.,Approach,1/2/1994 0:00:00,MO,290.0,170.0,Precautionary Landing,Overcast,UNKNOWN BIRD,1
FLG,PINNACLE (FORMERLY EXPSAIRL 1),SAAB-340,NO REPTD. DAMAGE. FLT CONTD. TO MEMPHIS.A/C INSPECTED AT MEMPHIS. NO DAMAGE NOTED.,Climb,8/18/1995 0:00:00,LA,30.0,140.0,None,No Cloud,UNKNOWN BIRD - SMALL,1
LOF,TRANS STATES AIRLINES,B-737,INGESTED IN #1 ENG ON T/O ROLL.    ROXIE LAYBOURNE ID'D BIRD.  EXTENT OF DAMAGE NOT REPTD.,Take-off run,6/20/1993 0:00:00,NJ,0.0,75.0,Aborted Take-off,Overcast,KILLDEER,1
RBD,TRANS WORLD EXPRESS,ATR-42,,Take-off run,4/18/1994 0:00:00,RI,0.0,40.0,None,No Cloud,DUCKS,1
PVT,PRIVATELY OWNED,BE-58  BARON,ATIS WARNING. LE OF LANDING GEAR DOOR BENT. STILL OPERATES. PUDDLE FORMED AT LOW SPOT ON RWY. INTERSECTION. THIS  ATTRACTS GULLS ON WET DAYS.,Take-off run,12/11/1993 0:00:00,MA,0.0,120.0,None,Overcast,GULLS,1
NWA,NORTHWEST AIRLINES,DC-9-30,FLT 1098,Climb,10/23/1992 0:00:00,NE,4000.0,250.0,None,No Cloud,DUCKS,1
UPS,UPS AIRLINES,DC-8,,Landing Roll,5/29/1993 0:00:00,KY,0.0,90.0,None,No Cloud,HAWKS,1
SWA,SOUTHWEST AIRLINES,B-737-300,NO DAMAGE NOTED,Climb,5/5/1994 0:00:00,TX,10.0,130.0,None,No Cloud,HAWKS,1
PVT,PRIVATELY OWNED,BE-90  KING,,Landing Roll,4/27/1995 0:00:00,OH,0.0,60.0,None,Overcast,GULLS,1
CDL,CCAIR,DHC8 DASH 8,FLT 5069,Approach,4/27/1995 0:00:00,KY,100.0,120.0,None,No Cloud,UNKNOWN BIRD - SMALL,1
SWA,SOUTHWEST AIRLINES,B-737-300,,Approach,7/29/1995 0:00:00,IL,10.0,130.0,None,No Cloud,UNKNOWN BIRD - SMALL,1
USA,US AIRWAYS,DC-9,,Approach,5/24/1995 0:00:00,DC,1000.0,140.0,None,Some Cloud,BLACKBIRDS,1
NWA,NORTHWEST AIRLINES,A-320,"FLT190, NO DAMAGE.",Landing Roll,5/25/1995 0:00:00,MA,0.0,105.0,None,Overcast,UNKNOWN BIRD - MEDIUM,1
SWA,SOUTHWEST AIRLINES,B-737-200,NO DAMAGE. SPEED <200 KTS.,Climb,7/29/1994 0:00:00,IL,200.0,150.0,None,No Cloud,UNKNOWN BIRD - MEDIUM,1
UAL,UNITED AIRLINES,B-737,FLT 407,Take-off run,9/2/1994 0:00:00,IL,0.0,120.0,Aborted Take-off,Some Cloud,GREAT BLUE HERON,1
UAL,UNITED AIRLINES,B-727,FLT 1279. HIT JUST ABOVE WINDSHLD.,Approach,10/6/1991 0:00:00,DC,700.0,140.0,None,No Cloud,UNKNOWN BIRD - MEDIUM,1
PVT,PRIVATELY OWNED,PA-31 NAVAJO,NO DAMAGE.,Take-off run,8/28/1992 0:00:00,WI,0.0,120.0,None,No Cloud,UNKNOWN BIRD - SMALL,1
PVT,PRIVATELY OWNED,C-150,"SPINNER CONE ON PROP AMOUNT OF DAMAGE UNKNOWN.  SAW A HAWK  MOVE AWAY FROM A/C ON T/O ROLL.  THEN SAW 20-30 PIGEONS, OF WHICH  6 WERE HIT.  WAS DOING TOUCH & GO'S. CHANGED TO FULL STOP, RETD  TO PARKING.",Take-off run,8/14/1991 0:00:00,CA,0.0,65.0,Precautionary Landing,No Cloud,ROCK PIGEON,2-10
AAL,AMERICAN AIRLINES,FK-100,"LEFT SIDE, FORWARD FUSELAGE JUST FORWARD OF A/C INTAKE.  NO  DAMAGE.",Climb,9/8/1994 0:00:00,TX,80.0,150.0,None,No Cloud,UNKNOWN BIRD - SMALL,1
BUS,BUSINESS,BE-36,,Climb,7/10/1994 0:00:00,IA,200.0,100.0,None,No Cloud,UNKNOWN BIRD - SMALL,1
BUS,BUSINESS,C-208,PILOT HEARD THUMP BUT COULDN'T TELL WHERE BIRD STRUCK.,Approach,3/7/1995 0:00:00,CA,100.0,90.0,None,Overcast,DUCKS,1
AAL,AMERICAN AIRLINES,MD-80,"NO KNOWN DAMAGE, A/C CONTD. TO DESTINATION.",Climb,1/3/1993 0:00:00,AL,300.0,160.0,None,Overcast,UNKNOWN BIRD - SMALL,1
AMF,AMERIFLIGHT,PA-31 NAVAJO,,Approach,5/23/1994 0:00:00,CA,1300.0,165.0,None,No Cloud,DUCKS,1
ERE,ERIE AIRWAYS,BE-100 KING,,Take-off run,10/24/1994 0:00:00,PA,0.0,100.0,None,Some Cloud,EUROPEAN STARLING,2-10
BUS,BUSINESS,BE-1900,DENTED L SIDE OF NOSE.  FOUND 3 DEAD DUCKS.,Approach,10/24/1994 0:00:00,WI,200.0,125.0,None,Some Cloud,DUCKS,1
PVT,PRIVATELY OWNED,PA-32,"A/C STRUCK DEER WHILE FLARING OUT ON APPCH.  PILOT PULLED UP,  CIRCLED ARPT AND LANDED W.O INCIDENT AT 2028Z.  SUBSTANTIAL  DAMAGE.  PILOT = WILLIAM E READ, 3590 NORTH LAKE DRIVE,  SHOREWOOD, WI 53211.  NO INJURIES.",Approach,5/28/1993 0:00:00,SD,3.0,60.0,Other,No Cloud,WHITE-TAILED DEER,1
USA,US AIRWAYS,DHC7 DASH 7,BIRD STRIKE REPORTED BY TOWER AT 0726.  A/C LISTED ABOVE IS  BELIEVED TO BE INVOVLED A/C BUT NOT CONFIRMED.,Take-off run,4/7/1994 0:00:00,VA,0.0,120.0,None,Overcast,GULLS,2-10
PVT,PRIVATELY OWNED,BE-100 KING,,Landing Roll,2/14/1995 0:00:00,ID,0.0,90.0,None,Some Cloud,UNKNOWN BIRD - SMALL,2-10
AAL,AMERICAN AIRLINES,MD-82,"FLT 442. DAMAGE UNKN, PILOT & CREW CHECKING ENGINES.",Approach,9/14/1992 0:00:00,NC,3000.0,240.0,None,Some Cloud,UNKNOWN BIRD - SMALL,1
AAL,AMERICAN AIRLINES,MD-80,NO REMAINS FOUND ON RWY. FLT 242 ADZ CONTINUING FLT W/O INCIDENT.,Take-off run,9/14/1992 0:00:00,CA,0.0,120.0,None,No Cloud,UNKNOWN BIRD,1
ABX,ABX AIR (was AIRBORNE EXPRESS),NAMC YS-11A,,En Route,10/21/1994 0:00:00,IN,2500.0,130.0,None,,UNKNOWN BIRD,1
ALO,ALLEGHENYAIRLINES,DHC8 DASH 8,,Approach,11/11/1991 0:00:00,PA,100.0,110.0,None,Overcast,UNKNOWN BIRD - SMALL,1
USA,US AIRWAYS,B-737,"FLT 404 REPTD A BIRD STRIKE ON LANDING, NO DAMAGE. TIME =  1315Z.",Landing Roll,11/12/1991 0:00:00,MA,0.0,105.0,None,,UNKNOWN BIRD,1
BUS,BUSINESS,LEARJET-35,BIRD WS BLACK AND WHITE - ONLY HEAD AND ONE WING FOUND.,Climb,8/22/1994 0:00:00,MI,50.0,140.0,None,Some Cloud,UNKNOWN BIRD - MEDIUM,1
FDX,FEDEX EXPRESS,B-727-100,"LOWER RIGHT COCKPIT WINDOW STRUCK, NO DAMAGE.",Climb,10/4/1994 0:00:00,MA,480.0,130.0,None,,UNKNOWN BIRD,1
BUS,BUSINESS,C-560,UNKN WHERE BIRD STRUCK. NO DAMAGE/INJURIES KNOWN. TIME = 1817Z.,Climb,9/26/1991 0:00:00,FL,50.0,120.0,None,Overcast,UNKNOWN BIRD - SMALL,1
AAL,AMERICAN AIRLINES,MD-82,OVER HUDSON RIVER,Approach,10/25/1993 0:00:00,NY,3000.0,215.0,None,No Cloud,UNKNOWN BIRD,1
AAL,AMERICAN AIRLINES,DC-10,NO DAMAGE. SUSPECT GULL. TIME = 1957LCL,Approach,10/26/1993 0:00:00,CA,1500.0,150.0,None,No Cloud,GULLS,1
AAL,AMERICAN AIRLINES,B-727,,Climb,7/27/1992 0:00:00,MI,50.0,140.0,None,No Cloud,UNKNOWN BIRD - MEDIUM,1
PVT,PRIVATELY OWNED,PA-32,LARGE BLACK BIRD SHATTERED WINDSHIELD. PILOT AND BOTH PAX COVERED  WITH BLOOD FROM BIRD.,Climb,4/2/1995 0:00:00,TN,1200.0,115.0,Precautionary Landing,No Cloud,UNKNOWN BIRD - LARGE,1
PVT,PRIVATELY OWNED,BE-90  KING,HIT 2 BIRDS,Approach,8/12/1993 0:00:00,CA,300.0,135.0,None,Overcast,ROCK PIGEON,2-10
AAL,AMERICAN AIRLINES,MD-83,NO DAMAGE TO A/C,Climb,4/30/1994 0:00:00,TN,50.0,140.0,None,Some Cloud,UNKNOWN BIRD - SMALL,1
ASQ,ATLANTIC SOUTHEAST,B-727-200,NO DAMAGE FOUND,Approach,7/23/1993 0:00:00,NJ,200.0,140.0,None,Some Cloud,EUROPEAN STARLING,11-100
BUS,BUSINESS,C-402,LIGHT DAMAGE TO LE SKIN OF VERT. STAB.,En Route,8/29/1992 0:00:00,,1200.0,160.0,None,Overcast,GULLS,1
AAL,AMERICAN AIRLINES,MD-80,,Climb,5/27/1992 0:00:00,TN,20.0,160.0,None,Some Cloud,BLACKBIRDS,1
SWA,SOUTHWEST AIRLINES,B-737,,Descent,5/17/1992 0:00:00,TX,3950.0,210.0,None,Some Cloud,UNKNOWN BIRD - MEDIUM,1
SWA,SOUTHWEST AIRLINES,B-737,FLT 473 NO DAMAGE.,Take-off run,2/29/1992 0:00:00,TX,0.0,120.0,None,,UNKNOWN BIRD,1
EGF,AMERICAN EAGLE AIRLINES,SAAB-340,,Landing Roll,8/8/1993 0:00:00,PA,0.0,80.0,None,,MOURNING DOVE,1
BLR,ATLANTIC COAST AIRLINES,EMB-120,"6 MI EAST MANASSAS, VA  TIME = 0305Z.  NO DAMAGE. RETRND TO  INSPECT FOR DAMAGE, DEPTD AT 0400Z.",Climb,4/28/1993 0:00:00,DC,4000.0,200.0,Precautionary Landing,No Cloud,UNKNOWN BIRD - MEDIUM,1
BUS,BUSINESS,SAAB-340,"APPROACH PLATE WARNS PRESENCE OF GULLS, BUT NO WARNING FOR THIS  SPECIFIC DAY.",Take-off run,8/15/1994 0:00:00,MN,0.0,100.0,None,No Cloud,GULLS,1
USA,US AIRWAYS,B-737-400,,Approach,9/6/1994 0:00:00,NV,6000.0,160.0,None,No Cloud,UNKNOWN BIRD - MEDIUM,1
PVT,PRIVATELY OWNED,C-152,,Landing Roll,10/25/1992 0:00:00,FL,0.0,105.0,None,Some Cloud,UNKNOWN BIRD - SMALL,1
PVT,PRIVATELY OWNED,BE-35,COMMUNICATION ANTENNA ON TOP OF A/C WAS DAMAGED. 7-8 M SO OF BGM.   A/C WAS DOING TOUCH & GOS. LANDED W/O INCIDENT.,Approach,12/3/1992 0:00:00,NY,3900.0,125.0,Precautionary Landing,Overcast,UNKNOWN BIRD - MEDIUM,1
AVV,AIRVANTAGE,SA226 TC,TOWER WARNED OF BIRDS ON RY AND IN AREA. TAKEOFF STARTED SLOWLY  WHILE LOOKING AHEAD FOR BIRDS. BECAUSE THEIR COLORS BLENDED WITH  RY THEY WERE NOT SEEN UNTIL 500' IN FRONT OF A/C. I SAW LARGE  FLOCK ON RY AND STARTED TO ABORT T/O. WE FELT NO IMPACT & AFTER  INSPECTION FOUND BLOOD AND FEATHERS ON LEFT WING. NO DAMAGE.,Take-off run,9/14/1994 0:00:00,ND,0.0,90.0,Aborted Take-off,Some Cloud,GULLS,1
NWA,NORTHWEST AIRLINES,DC-9-30,FLT762. UNABLE TO DETERMINE WHERE A/C WAS STRUCK.  NO DAMAGE  REPTD.  RAIN.,Take-off run,9/25/1993 0:00:00,NE,0.0,120.0,None,Overcast,CANADA GOOSE,2-10
COA,CONTINENTAL AIRLINES,MD-82,FLT365.,Approach,9/17/1992 0:00:00,FL,800.0,132.0,None,Some Cloud,UNKNOWN BIRD - SMALL,1
BUS,BUSINESS,B-737-300,EFFECT OF FLT = KEPT A/C DOWN TO AVOID REST OF FLOCK. 2 HIT.  WINDS GUSTYING TO 30 KTS.,Take-off run,1/6/1994 0:00:00,TX,0.0,150.0,Other,No Cloud,UNKNOWN BIRD - SMALL,2-10
COA,CONTINENTAL AIRLINES,MD-80,FLT 251. 1 TAXIWAY LIGHT WAS BROKEN. NO APPARENT DAMAGE TO A/C.,Approach,1/10/1994 0:00:00,CO,300.0,135.0,None,,DUCKS,1
PVT,PRIVATELY OWNED,C-425,VIS 2 MI-HAZE.  NO DAMAGE.,Approach,6/22/1994 0:00:00,KY,1000.0,150.0,None,No Cloud,UNKNOWN BIRD,1
AAL,AMERICAN AIRLINES,A-300,NO DAMAGE,Approach,9/1/1993 0:00:00,OK,3000.0,250.0,None,No Cloud,UNKNOWN BIRD - SMALL,1
COA,CONTINENTAL AIRLINES,B-727,JUST ABOVE WINDSHIELD.  BLOOD ON A/C PERHAPS SMALL DENT,Descent,3/16/1994 0:00:00,MO,5500.0,250.0,None,Some Cloud,GEESE,1
AAL,AMERICAN AIRLINES,B-727,TIME = 2122Z. FLT 447. NO DAMAGE NOTED.,Climb,7/13/1991 0:00:00,CT,50.0,150.0,None,Some Cloud,UNKNOWN BIRD - SMALL,1
AAL,AMERICAN AIRLINES,DC-9-80,FLT 364. PILOT SAW BIRD 1 SECOND BEFORE STRIKE.,Approach,4/21/1992 0:00:00,AL,50.0,132.0,None,No Cloud,UNKNOWN BIRD - SMALL,1
BUS,BUSINESS,LEARJET-24,"RESCUE 5 REMOVED 2 INJURED GULLS, ADVZ TWR RWY CLEAR & CALLED  ANIMAL CONTROL FOR GULLS.",Take-off run,4/21/1992 0:00:00,VA,0.0,120.0,None,Some Cloud,GULLS,2-10
DAL,DELTA AIR LINES,MD-88,,Landing Roll,8/28/1995 0:00:00,FL,0.0,120.0,None,Some Cloud,SWALLOWS,2-10
DAL,DELTA AIR LINES,MD-88,,Landing Roll,7/11/1995 0:00:00,KY,0.0,105.0,None,No Cloud,UNKNOWN BIRD - SMALL,1
PDT,PIEDMONT AIRLINES,BE-200 KING,"DAMAGE UNKNOWN AT THIS TIME. BIRD REPTD AS DOVE, ASSUME MOURNING DOVE FROM LOCATION.",Take-off run,7/17/1994 0:00:00,AL,0.0,120.0,None,Overcast,MOURNING DOVE,1
UAL,UNITED AIRLINES,DC-10-10,"FLT 187 LANDED WITH #2 ENG. SHUTDOWN, A GOOSE (WRONGLY ID'D) HAD  BEEN INGESTED IN #1 ENG, ENG PARTS CAME OUT THE SIDE OF THE ENG &  DAMAGED #2 ENG. TIME = 1106C. GE REPTD 38 BLADES DAMAGED. CORE  INGESTION. THERE WAS TRANSVERSE SEPARATION INBOARD OF MIDSPAN.  BIRD ID BY ROXIE @ SMITHSONIAN.",Take-off run,12/11/1991 0:00:00,IL,0.0,159.0,Engine Shut Down,,AMERICAN CROW,2-10
BUS,BUSINESS,MU2,,Climb,8/8/1994 0:00:00,CA,20.0,100.0,None,Some Cloud,SPARROWS,2-10
SWA,SOUTHWEST AIRLINES,B-737-300,,Approach,5/9/1994 0:00:00,TX,2000.0,250.0,None,Some Cloud,UNKNOWN BIRD - SMALL,1
EGF,AMERICAN EAGLE AIRLINES,ATR-72,FLT 546 HAD BIRD STRIKE WHILE LANDING RY13R AT 1625Z. NO DAMAGE  REPTD.,Landing Roll,10/7/1994 0:00:00,TX,0.0,105.0,None,,UNKNOWN BIRD,1
MEP,MIDWEST AIRLINES,DC-9,,Climb,6/3/1994 0:00:00,NE,1000.0,230.0,None,Some Cloud,UNKNOWN BIRD - SMALL,1
BUS,BUSINESS,C-172,"PILOT LOST DIRECTIONAL CONTROL OF A/C WHILE TAXING WHEN 7 DEER  CROSSED IN FRONT OF A/C. HIT 4 DEER & THEN HIT TREES ON WEST SIDE  OF TAXIWAY. PLANE TOTALLED. PILOT -MR. TRACY WATSON,  404-834-6233/739-0181(WORK). PILOT RVCD MINOR INJURIES.",Take-off run,12/18/1994 0:00:00,GA,0.0,120.0,Other,No Cloud,WHITE-TAILED DEER,2-10
LOF,TRANS STATES AIRLINES,BA-31 JETSTR,BROKEN WINDSHIELD WIPER BLADE. FLT 494.,Approach,10/26/1993 0:00:00,IN,3800.0,230.0,None,No Cloud,DUCKS,1
BUS,BUSINESS,LEARJET-35,,Approach,11/15/1993 0:00:00,MI,50.0,130.0,None,Overcast,GULLS,2-10
AMT,ATA AIRLINES (AMERICAN TRANS A,L-1011,NO DAMAGE. BLOOD STAINS FOUND ON INTAKE RING COWLING/,Approach,8/18/1995 0:00:00,GA,1250.0,160.0,None,Some Cloud,UNKNOWN BIRD - MEDIUM,1
AAL,AMERICAN AIRLINES,MD-82,"NO DAMAGE OR OTHER PROBLEMS, LANDED NORMALLY",Approach,11/14/1994 0:00:00,IL,800.0,120.0,None,No Cloud,UNKNOWN BIRD - SMALL,1
AAL,AMERICAN AIRLINES,FK-100,,Approach,2/17/1995 0:00:00,MO,800.0,150.0,None,Some Cloud,UNKNOWN BIRD - MEDIUM,1
PDT,PIEDMONT AIRLINES,DHC7 DASH 7,ONE BIRD STRUCK WINDSHIELD ON LANDING. NO DAMAGE OR FLIGHT DELAY.,Landing Roll,6/1/1994 0:00:00,VA,0.0,105.0,None,No Cloud,EUROPEAN STARLING,1
BLR,ATLANTIC COAST AIRLINES,BA-31 JETSTR,NOSE WHEELS HAD FEATHERS & BLOOD.  NO DAMAGE. BIRDS WERE WADDLING  ACROSS RWY 2000' FROM TOUCHDOWN ZONE.,Landing Roll,7/13/1993 0:00:00,DC,0.0,100.0,None,No Cloud,CANADA GOOSE,2-10
ASA,ALASKA AIRLINES,B-727,INFO NOT COMPLETE AS REPT WAS GIVEN TO ANC ATCT BY AIRLINE OPS.,Take-off run,7/13/1992 0:00:00,AK,0.0,120.0,None,Some Cloud,UNKNOWN BIRD,1
BUS,BUSINESS,C-500,BIRDS WERE SEEN AND STRUCK NEAR APPROACH END OF RY,Landing Roll,7/17/1994 0:00:00,AL,0.0,18.0,None,Some Cloud,"PIGEONS, DOVES",2-10
USA,US AIRWAYS,DC-9-30,NO DAMAGE,Climb,8/15/1992 0:00:00,VA,50.0,150.0,None,Overcast,GULLS,2-10
AAL,AMERICAN AIRLINES,B-727,REPORT WAS TORN # OF BIRDS & PILOT WARNED MISSING. NO DAMAGE. FLT  197,Climb,9/8/1992 0:00:00,TN,1700.0,200.0,None,Overcast,UNKNOWN BIRD - SMALL,1
USA,US AIRWAYS,B-737-200,,Climb,5/1/1994 0:00:00,NY,100.0,160.0,None,Some Cloud,GULLS,1
USA,US AIRWAYS,B-737,,Approach,8/28/1995 0:00:00,OH,200.0,140.0,None,Some Cloud,UNKNOWN BIRD - SMALL,1
USA,US AIRWAYS,B-757-200,L/H AOA SENSOR DAMAGED.,Approach,6/27/1995 0:00:00,CA,100.0,140.0,None,No Cloud,GULLS,1
PVT,PRIVATELY OWNED,BE-33,BIRD STRIKE R & L WINGS. DAMAGE TO R & L DE-ICE BOOTS.,Approach,9/11/1994 0:00:00,NH,300.0,135.0,None,Overcast,GULLS,2-10
UAL,UNITED AIRLINES,DC-10,STRUCK A FLOCK OF CANADA GEESE IN CENTER OF WINDSHIELD. NO A/C  DAMAGE REPTD.  ATA DEN; 22030Z WITHOUT INCIDENT.,Approach,1/21/1993 0:00:00,CO,300.0,135.0,None,,CANADA GOOSE,2-10
NWA,NORTHWEST AIRLINES,DC-9,"FLT 1712 HAD A BROKEN LENS FROM WING LIGHT, NOT NOTICED OR  REPD UNTIL AFTER LANDING.",Take-off run,7/23/1995 0:00:00,ND,0.0,120.0,None,Some Cloud,UNKNOWN BIRD - MEDIUM,2-10
FAE,SAT-AIR,MERLIN III,,Taxi,9/18/1992 0:00:00,WI,0.0,10.0,None,Some Cloud,GULLS,1
PVT,PRIVATELY OWNED,C-172,,Take-off run,3/3/1995 0:00:00,ID,0.0,55.0,None,Overcast,SPARROWS,1
AAH*,ALOHA AIRLINES,B-737-300,,Landing Roll,2/7/1992 0:00:00,HI,0.0,100.0,None,Some Cloud,CHESTNUT MANNIKIN,1
DAL,DELTA AIR LINES,MD-88,FLT 842,Approach,8/23/1991 0:00:00,GA,400.0,131.0,None,Some Cloud,UNKNOWN BIRD - MEDIUM,1
HNA,HENSON,DHC8 DASH 8,NO DAMAGE/INJURY. FLT 4308,Take-off run,10/20/1991 0:00:00,FL,0.0,110.0,None,No Cloud,GULLS,2-10
